1,John,Male,05-04-1988,55,45,56,156,52.00,Infosys,Data Analyst,10.2,
2,Mayur,Male,04-05-1987,75,55,55,185,61.67,TCS,Java Developer,9.6,
3,Mangesh,Male,25-05-1989,25,54,89,168,56.00,TCS,Data Scientist,12.60,
4,Jessica,Female,12-08-1990,78,55,86,219,73.00,Infosys,Data Analyst,10.2,
5,Jennifer,Female,02-09-1989,58,96,78,232,77.33,Oracle,Java Developer,9.6,
6,Ramesh,Male,03-09-1989,88,78,58,224,74.67,Oracle,Data Scientist,12.60,
7,Suresh,Male,04-09-1990,56,89,69,214,71.33,TCS,Tester,6.50,
8,Ganesh,Male,05-10-1989,54,55,88,197,65.67,Infosys,Tester,6.51,
9,Komal,Female,06-09-1989,46,66,65,177,59.00,Mindtree,Database Admin,8.30,
10,Mayuri,Female,07-02-1988,89,87,54,230,76.67,Mindtree,Database Admin,8.31,
